ine_label	utterance	num_tokens
UNK:UNK	"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/04/2000  04:23 PM ---------------------------     	Enron North America Corp. 	 	From:  Airam Arteaga                           10/04/2000 12:23 PM 	  To: Phillip K Allen/HOU/ECT@ECT, Thomas A Martin/HOU/ECT@ECT, Scott  Neal/HOU/ECT@ECT, John Arnold/HOU/ECT@ECT, Grant Masson/HOU/ECT@ECT, Ted  Murphy/HOU/ECT@ECT, Vladimir Gorny/HOU/ECT@ECT, Frank Hayden/Corp/Enron@Enron cc: Rita Hennessy/NA/Enron@Enron, Ina Rangel/HOU/ECT@ECT, Laura  Harder/Corp/Enron@Enron, Kimberly Brown/HOU/ECT@ECT, Araceli  Romero/NA/Enron@Enron, Kimberly Hillis/HOU/ECT@ect  Subject: Var, Reporting and Resources Meeting  Please plan to attend the below  Meeting:                                   Topic:  Var, Reporting and Resources Meeting            Date:  Wednesday, October 11th    Time:  2:30 - 3:30     Location: EB30C1       If you have any questions/conflicts, please feel free to call me.  Thanks, Rain x.31560"	147
UNK:UNK	Tim,  mike grigsby is having problems with accessing the west power site.  Can you please make sure he has an active password.    Thank you,  Phillip	25
UNK:UNK	---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/03/2000  04:13 PM ---------------------------   Nancy Hall@ENRON 10/02/2000 06:42 AM To: Mark Whitt/NA/Enron@Enron, Phillip K Allen/HOU/ECT@ECT, Paul T  Lucci/NA/Enron@Enron, Paul Bieniawski/Corp/Enron@ENRON, Tyrell  Harrison/NA/Enron@Enron cc: Jean Mrha/NA/Enron@Enron, Ina Rangel/HOU/ECT@ECT, Monica  Jackson/Corp/Enron@ENRON  Subject: Meeting re: Storage Strategies in the West  There will be a meeting on Tuesday, Oct. 10th at 4:00pm in EB3270 regarding  Storage Strategies in the West.  Please mark your calendars.  Thank you!  Regards, Nancy Hall ENA Denver office 303-575-6490	110
UNK:UNK	Brenda,  Please use the second check as the October payment.  If you have already  tossed it, let me know so I can mail you another.  Phillip	26
UNK:UNK	I think Fletch has a good CPA.  I am still doing my own.	13
UNK:UNK	Brenda,   Please use the second check as my October payment.  I have my copy of the  original deal.  Do you want me to fax this to you?  Phillip	28
UNK:UNK	Reagan,  Just wanted to give you an update.  I have changed the unit mix to include some 1 bedrooms and reduced the number of buildings to 12.  Kipp Flores is working on the construction drawings.  At the same time I am pursuing FHA financing.  Once the construction drawings are complete I will send them to you for a revised bid.  Your original bid was competitive and I am still attracted to your firm because of your strong local presence and contacts.  Phillip	82
UNK:UNK	Nymex expiration is during this time frame.  Please reschedule.	9
UNK:UNK	"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000  12:08 PM ---------------------------   	Invitation Chairperson: Richard Burchfield Sent by: Cindy Cicchetti  Start: 09/27/2000 11:30 AM End: 09/27/2000 12:30 PM  Description: Gas Trading Vision Meeting - Room EB2556    This meeting repeats   starting on    (if the date occurs on a weekend the  meeting ). Meeting Dates:     Phillip K Allen/HOU/ECT Hunter S Shively/HOU/ECT Scott Mills/HOU/ECT Allan Severude/HOU/ECT Jeffrey C Gossett/HOU/ECT Colleen Sullivan/HOU/ECT Russ Severson/HOU/ECT Jayant Krishnaswamy/HOU/ECT Russell Long/HOU/ECT  Detailed description:"	100
UNK:UNK	"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000  12:07 PM ---------------------------     	 	 	From:  Cindy Cicchetti                           09/26/2000 09:23 AM 	  To: Phillip K Allen/HOU/ECT@ECT, Hunter S Shively/HOU/ECT@ECT, Scott  Mills/HOU/ECT@ECT, Allan Severude/HOU/ECT@ECT, Russ Severson/HOU/ECT@ECT,  Fletcher J Sturm/HOU/ECT@ECT, Scott Neal/HOU/ECT@ECT cc:   Subject: Gas Physical/Financial Position  I have scheduled and entered on each of your calendars a meeting for the  above referenced topic.  It will take place on Thursday, 9/28 from 3:00 -  4:00 in Room EB2537."	101
UNK:UNK	Chris,   What is the latest with PG&E?  We have been having good discussions  regarding EOL.  Call me when you can. X37041  Phillip	23
UNK:UNK	"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/25/2000  02:01 PM ---------------------------   	Reschedule Chairperson: Richard Burchfield Sent by: Cindy Cicchetti  Start: 09/28/2000 01:00 PM End: 09/28/2000 02:00 PM  Description: Gas Physical/Financail Positions - Room 2537    This meeting repeats   starting on    (if the date occurs on a weekend the  meeting ). Meeting Dates:     Fletcher J Sturm/HOU/ECT Scott Neal/HOU/ECT Hunter S Shively/HOU/ECT Phillip K Allen/HOU/ECT Allan Severude/HOU/ECT Scott Mills/HOU/ECT Russ Severson/HOU/ECT  Detailed description:    The meeting with Richard Burchfield/HOU/ECT was rescheduled.    On   09/28/2000 03:00:00 PM CDT  For   1 hour   With:   Richard Burchfield/HOU/ECT (Chairperson)     Fletcher J Sturm/HOU/ECT (Invited)     Scott Neal/HOU/ECT (Invited)     Hunter S Shively/HOU/ECT (Invited)     Phillip K Allen/HOU/ECT (Invited)     Allan Severude/HOU/ECT (Invited)     Scott Mills/HOU/ECT (Invited)     Russ Severson/HOU/ECT (Invited)    Gas Physical/Financail Positions - Room 2537"	163
UNK:UNK	"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/25/2000  02:00 PM ---------------------------   	Invitation Chairperson: Richard Burchfield Sent by: Cindy Cicchetti  Start: 09/27/2000 01:00 PM End: 09/27/2000 02:00 PM  Description: Gas Physical/Financail Positions - Room 2537    This meeting repeats   starting on    (if the date occurs on a weekend the  meeting ). Meeting Dates:     Fletcher J Sturm/HOU/ECT Scott Neal/HOU/ECT Hunter S Shively/HOU/ECT Phillip K Allen/HOU/ECT Allan Severude/HOU/ECT Scott Mills/HOU/ECT Russ Severson/HOU/ECT  Detailed description:"	92
UNK:UNK	Greg,  Happy B-day. Email me your phone # and I will call you.  Keith	14
UNK:UNK	Kathy,  Regarding the guest password for gas daily, can you please relay the  information to Mike Grigsby at 37031 so he can pass it along to the user at  gas daily today.  I will be out of the office on Friday.  thank you  Phillip	44
UNK:UNK	John,   Denver's short rockies position  beyond 2002 is created by their Trailblazer  transport.  They are unhedged 15,000/d in 2003 and 25,000/d in 2004 and  2005.     They are scrubbing all their books and booking the Hubert deal on Wednesday  and Thursday.  Phillip	46
UNK:UNK	Jim,  Is there going to be a conference call or some type of weekly meeting about all the regulatory issues facing California this week?  Can you make sure the gas desk is included.  Phillip	34
UNK:UNK	George,   Here sales numbers from Reagan:        As you can see his units sold at a variety of prices per square foot.  The  1308/1308 model seems to have the most data and looks most similiar to the  units you are selling.  At  2.7 MM, my bid is .70/sf higher than his units  under construction.  I am having a hard time justifying paying much more with  competition on the way.  The price I am bidding is higher than any deals  actually done to date.      Let me know what you think.  I will follow up with an email and phone call  about Cherry Creek.  I am sure Deborah Yates let you know that the bid was  rejected on the De Ville property.  Phillip Allen	124
UNK:UNK	Jeff,   What is up with Burnet?  Phillip	7
UNK:UNK	Jeff,   I need to see the site plan for Burnet.  Remember I must get written  approval from Brenda Key Stone before I can sell this property and she has  concerns about the way the property will be subdivided.    I would also like  to review the closing statements as soon as possible.  Phillip	52
UNK:UNK	Lucy,  I want to have an accurate rent roll as soon as possible. I faxed you a copy  of this file.  You can fill in on the computer or just write in the correct  amounts and I will input.	39
UNK:UNK	Brenda,   I checked my records and I mailed check #1178 for the normal amount on  August 28th.  I mailed it to 4303 Pate Rd. #29, College Station, TX 77845.  I  will go ahead and mail you another check.  If the first one shows up you can  treat the 2nd as payment for October.   I know your concerns about the site plan.  I will not proceed without  getting the details and getting your approval.   I will find that amortization schedule and send it soon.  Phillip	84
UNK:UNK	Lucy,   You wrote fewer checks this month.  Spent more money on Materials and less on  Labor.      June  July  August  Total Materials  2929  4085  4801  Services  53  581  464  Labor   3187  3428  2770       Here are my questions on the August bank statement (attached):  1.  Check 1406  Walmart    Description and unit?  2.  Check 1410  Crumps     Detail description and unit?  3.  Check 1411  Lucy      What is this?  4.  Check 1415  Papes      Detail description and units?  5.  Checks 1416, 1417, and 1425  Why overtime?  6.  Check 1428    Ralph's   What unit?  7.  Check 1438    Walmart?    Description and unit?     Try and pull together the support for these items and get back to me.  Phillip	109
UNK:UNK	---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/12/2000  11:22 AM ---------------------------  Michael Etringer  09/11/2000 02:32 PM  To: Phillip K Allen/HOU/ECT@ECT cc:   Subject: Contact list for mid market  Phillip, Attached is the list.  Have your people fill in the columns highlighted in  yellow.  As best can we will try not to overlap on accounts.   Thanks, Mike	64
UNK:UNK	http://www.hearme.com/vc2/?chnlOwnr=pallen@enron.com	9
UNK:UNK	"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 05/02/2001 05:26 AM ---------------------------   Ina Rangel 05/01/2001 12:24 PM To:	Phillip K Allen/HOU/ECT@ECT cc:	  Subject:	Re: 2- SURVEY - PHILLIP ALLEN            - Full Name:        Phillip Allen  Login ID:  	pallen  Extension:  3-7041  Office Location:  EB3210C  What type of computer do you have?  (Desktop,  Laptop,  Both)  Both  Do you have a PDA?  If yes, what type do you have:   (None, IPAQ, Palm Pilot, Jornada)  IPAQ  Do you have permission to access anyone's Email/Calendar?  NO     If yes, who?    Does anyone have permission to access your Email/Calendar?  YES     If yes, who?  INA RANGEL  Are you responsible for updating anyone else's address book?       If yes, who?  NO  Is anyone else responsible for updating your address book?       If yes, who?  NO  Do you have access to a shared calendar?       If yes, which shared calendar?  YES, West Calendar  Do you have any Distribution Groups that Messaging maintains for you (for mass mailings)?       If yes, please list here:  NO  Please list all Notes databases applications that you currently use:  NONE  In our efforts to plan the exact date/time of your migration, we also will need to know:  What are your normal work hours?  From:     7:00 AM To:      5:00 PM  Will you be out of the office in the near future for vacation, leave, etc? NO        If so, when?        From (MM/DD/YY):      To (MM/DD/YY):                 <Embedded StdOleLink>"	242
UNK:UNK	Jeff,   I received the rent roll.  I am going to be in San Marcos this weekend but I  am booked with stage coach.  I will drive by Friday evening.  I will let you know next week if I need to see the inside.  Can you find out  when Chelsea Villa last changed hands and for what price?   What about getting a look at the site plans for the Burnet deal.  Remember  we have to get Brenda happy.  Phillip	78
UNK:UNK	9/8  9/7  diff  Socal  36,600  37,200  -600  NWPL  -51,000  -51,250  250  San Juan -32,500  -32,000  -500   The reason the benchmark report shows net selling San Juan is that the  transport positions were rolled in on 9/8.  This added 800 shorts to San Juan  and 200 longs to Socal.  Before this adjustment we bought 300 San Juan and  sold 800 Socal.	69
UNK:UNK	why is aeco basis so low on the list?  Is NWPL mapped differently than AECO?   What about the correlation to Nymex on AECO?	23
UNK:UNK	Jeff,   You would clearly receive a commission on a deal on the sagewood.     I am surprised by your request for payment on any type of project in which   I might become involved with Creekside.  Are you in the business of brokering  properties or contacts?  Is your position based on a legal or what you  perceive to be an ethical issue?  Did you propose we look at developing a  project from scratch?   I am not prepared to pay more than 2.7 for sagewood yet.    Phillip	85
UNK:UNK	"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/06/2000  03:53 PM ---------------------------   ""Lucy Gonzalez"" <stagecoachmama@hotmail.com> on 09/06/2000 09:06:45 AM To: pallen@enron.com cc:   Subject: utilities roll    _________________________________________________________________________ Get Your Private, Free E-mail from MSN Hotmail at http://www.hotmail.com.  Share information about yourself, create your own public profile at http://profiles.msn.com.   - utility.xls  - utility.xls"	68
UNK:UNK	Larry,   Just a note to touch base on the sagewood townhomes and other development  opportunities.   I stumbled across some other duplexes for sale on the same street. that were  built by Reagan Lehmann.  22 Units were sold for   around $2 million. ($182,000/duplex).  I spoke to Reagan and he indicated  that he had more units under construction that would be   available in the 180's.  Are the units he is selling significantly different  from yours?  He mentioned some of the units are the 1308 floor  plan.  My bid of 2.7 million is almost $193,000/duplex.     As far as being an investor in a new project, I am still very interested.     Call or email with your thoughts.  Phillip	120
UNK:UNK	Ina,   I scheduled a meeting with Jean Mrha tomorrow at 3:30	12
UNK:UNK	Ina,   Can you pull Tori K.'s and Martin Cuilla's resumes and past performance  reviews from H.R.  ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/06/2000  10:44 AM ---------------------------   John J Lavorato@ENRON 09/06/2000 05:39 AM To: Phillip K Allen/HOU/ECT@ECT cc:   Subject: Re:    The commercial support people that you and Hunter want to make commercial  managers.	66
UNK:UNK	resumes of whom?	3
UNK:UNK	"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/05/2000  01:29 PM ---------------------------     	 	 	From:  Phillip K Allen                           08/29/2000 02:20 PM 	  To: mark@intelligencepress.com cc:   Subject:   Mark,   Here is a spreadsheet detailing our September Socal trades. (I did not  distinguish between buys vs. sells.)    Phillip"	49
UNK:UNK	"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/01/2000  01:07 PM ---------------------------     	Enron North America Corp. 	 	From:  Matt Motley                           09/01/2000 08:53 AM 	  To: Phillip K Allen/HOU/ECT@ECT cc:   Subject: FYI   --     - Ray Niles on Price Caps.pdf"	43
UNK:UNK	Richard,   Compare your california production to the numbers in the 2000 California Gas  Report.  It shows 410.  But again that might be just what the two utilities  receive.	28
UNK:UNK	Cooper,    Can you give access to the new west power site to Jay Reitmeyer.  He is an  analyst in our group.  Phillip	22
UNK:UNK	John Lavorato-M  Mike Grigsby-D Keith Holst-D Frank Ermis-D Steve South-D Janie Tholt-D  Scott Neal-P Hunter Shively-P Tom Martin-P John Arnold-P	30
UNK:UNK	"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 08/31/2000  10:17 AM ---------------------------     	 	 	From:  Phillip K Allen                           08/29/2000 02:20 PM 	  To: mark@intelligencepress.com cc:   Subject:   Mark,   Here is a spreadsheet detailing our September Socal trades. (I did not  distinguish between buys vs. sells.)    Phillip"	49
UNK:UNK	Greg,   Got your message.  Good luck on the bike ride.   What were you doing to your apartment?  Are you setting up a studio?   The kids are back in school.  Otherwise just work is going on here.  Keith	37
UNK:UNK	Why are his requests coming to me?	7
UNK:UNK	Mark,   Here is a spreadsheet detailing our September Socal trades. (I did not  distinguish between buys vs. sells.)    Phillip	19
UNK:UNK	Mark,   Were you able to log in to enron online and find socal today?   I will follow up with a list of our physical deals done yesterday and today.  Phillip	30
UNK:UNK	Brenda   Can you send me your address in College Station.  Phillip	11
UNK:UNK	---------------------- Forwarded by Phillip K Allen/HOU/ECT on 08/28/2000  01:39 PM ---------------------------  Kristian J Lande  08/24/2000 03:56 PM  To: Christopher F Calger/PDX/ECT@ECT, Jake Thomas/HOU/ECT@ECT, Frank W  Vickers/HOU/ECT@ECT, Elliot Mainzer/PDX/ECT@ECT, Michael McDonald/SF/ECT@ECT,  David Parquet/SF/ECT@ECT, Laird Dyer/SF/ECT@ECT, Jim Buerkle/PDX/ECT@ECT, Jim  Gilbert/PDX/ECT@ECT, Terry W Donovan/HOU/ECT@ECT, Jeff G  Slaughter/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Ed Clark/PDX/ECT@ECT cc: Tim Belden/HOU/ECT@ECT, Robert Badeer/HOU/ECT@ECT, Matt  Motley/PDX/ECT@ECT, Phillip K Allen/HOU/ECT@ECT  Subject: New Generation    Sorry,  Report as of August 24, 2000	119
UNK:UNK	"Mark,   The following is a guest password that will allow you temporary view only  access to EnronOnline.  Please note, the user ID and password are CASE  SENSITIVE.  Guest User ID:  GNA45925 Guest Password: YJ53KU42  Log in to www.enrononline.com and install shockwave using instructions  below.  I have set up a composite page with western basis and cash prices to  help you filter through the products.  The title of the composite page is  Mark's Page.  If you have any problems logging in you can call me at  (713)853-7041 or Kathy Moore, EnronOnline HelpDesk, 713/853-HELP (4357).   The Shockwave installer can be found within ""About EnronOnline"" on the home  page.  After opening ""About EnronOnline"", using right scroll bar, go to the  bottom.  Click on ""download Shockwave"" and follow the directions.  After  loading Shockwave, shut down and reopen browser (i.e. Microsoft Internet  Explorer/Netscape).  I hope you will find this site useful.   Sincerely,  Phillip Allen"	158
UNK:UNK	Mark,   Attached is a spreadsheet that lists the end of day midmarkets for socal  basis and socal/san juan spreads.  I listed the days during bidweek that  reflected financial trading for Socal Index and the actual gas daily prints  before and after bidweek.             The following observations can be made:    July 1.  The basis market  anticipated a Socal/San Juan spread of .81 vs  actual of .79    2.  Perceived index was 4.95 vs actual of 4.91    3.  Socal Gas Daily Swaps are trading at a significant premium.    Aug. 1.  The basis market  anticipated a Socal/San Juan spread of 1.04 vs  actual of .99    2.  Perceived index was 4.54 vs actual of 4.49    3.  Gas daily spreads were much wider before and after bidweek than the  monthly postings    4.  Socal Gas Daily Swaps are trading at a significant premium.        Enron Online will allow you to monitor the value of financial swaps against  the index, as well as, spreads to other locations.  Please call with any  questions.  Phillip	171
UNK:UNK	Alan,   You should have received updated numbers from Keith Holst.  Call me if you did not receive them.  Phillip	19
UNK:UNK	Suzanne,   Can you give me more details or email  the plan prior to meeting?  What do I  need to provide besides headcount?  Otherwise any afternoon next week would be fine  Phillip	31
UNK:UNK	Colleen,   Please add Mike Grigsby to the distribution.   On another note, do you have any idea how Patti is holding up?  Phillip	22
UNK:UNK	Brad,   With regard to Tori Kuykendall, I would like to promote her to commercial  manager instead of converting her from a commercial support manager to an  associate.  Her duties since the beginning of the year have been those of a  commercial manager.  I have no doubt that she will compare favorably to  others in that category at year end.     Martin Cuilla on the central desk is in a similiar situation as Tori.   Hunter would like Martin handled the same as Tori.   Let me know if there are any issues.  Phillip	90
UNK:UNK	Bruce,  Can you stop by and set up my reuters.  Phillip	11
UNK:UNK	Lucy,   The rent roll spreadsheet is starting to look better.  See if you can add  these modifications:   1.  Use a formula in column E.  Add the value in column C to column D.  It  should read =c6+d6.  Then copy this formula to the rows below.   2.  Column H needs a formula.  Subtract amount paid from amount owed.   =e6-g6.   3.  Column F is filled with the #### sign.  this is because the column width  is too narrow.  Use you mouse to click on the line beside the         letter F.  Hold the left mouse button down and drag the column wider.   4.  After we get the rent part fixed, lets bring the database columns up to  this sheet and place them to the right in columns J and beyond.  Phillip	129
UNK:UNK	Lucy,  I got your email with the attachment.  Let's work together today to get this  done  Phillip	18
UNK:UNK	you have my approval	4
UNK:UNK	Lucy,   We can discuss your email later.  How is progress on creating the  spreadsheets.  You will probably need to close the file before you attach to  an email.  It is 2:00.  I really want to make some progress on these two  files.  Phillip	44
UNK:UNK	Lucy,  Please open this excel file and input the rents and names due for this week.   Then email the file back.	21
UNK:UNK	"Open the ""utility"" spreadsheet and try to complete the analysis of whether it  is better to be a small commercial or a medium commercial (LP-1). You will need to get the usage for that meter for the last 12 months.  If we  have one year of data, we can tell which will be cheaper.  Use the rates  described in the spreadsheet.  This is a great chance for you to practice  excel."	72
UNK:UNK	"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/30/2001 11:21 AM ---------------------------   Alan Comnes 04/27/2001 01:38 PM To:	Phillip K Allen/HOU/ECT@ECT cc:	Joe Hartsoe/Corp/Enron@ENRON  Subject:	Request from Steve Kean  Phillip,  I got this request.  On the gas side, I think Kean/Lay need an update to a table you prepared for me a few months ago, which I've attached..  Can you oblige?  Thanks,  Alan Comnes     ---------------------- Forwarded by Alan Comnes/PDX/ECT on 04/27/2001 01:42 PM ---------------------------   Janel Guerrero@ENRON 04/27/2001 12:44 PM To:	Alan Comnes/PDX/ECT@ECT, Jeff Dasovich/NA/Enron@Enron cc:	Paul Kaufman/PDX/ECT@ECT, Richard Shapiro/NA/Enron@Enron   Subject:	Request from Steve Kean  Alan,  Steve has asked that you update the power point below so that it reflects all of the ""stupid regulatory/legislative decisions"" since the beginning of the year.  Ken wants to have this updated chart in his briefing book for next week's ""Ken Lay Tour"" to CA.    He also wants a forward price curve for both gas and power in CA.  Can we get these three documents by Monday afternoon?"	197
UNK:UNK	Mac,   Thanks for the research report on EOG.  Here are my observations:    Gas Sales 916,000/day x 365 days = 334,340,000/year      Estimated Gas Prices $985,721,000/334,340,000= $2.95/mcf    Actual gas prices are around $1.00/mcf higher and rising.      Recalc of EPS with more accurate gas prices:   (334,340,000 mct X $1/mcf)/116,897,000 shares outst = $2.86 additional EPS  X 12 P/E multiple = $34 a share    That is just a back of the envelope valuation based on gas prices.  I think  crude price are undervalued by the tune of $10/share.   Current price 37  Nat. Gas 34  Crude  10   Total  81     Can you take a look at these numbers and play devil's advocate?  To me this  looks like the best stock to own Also can you send me a report on Calpine,  Tosco, and SLB?   Thank you,   Phillip	152
UNK:UNK	"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 08/20/2000  05:39 PM ---------------------------   ""Lucy Gonzalez"" <stagecoachmama@hotmail.com> on 08/15/2000 02:32:57 PM To: pallen@enron.com cc:   Subject: Daily Duties          Phillip,            We have been working on different apartments today and having to listen to different, people about what Mary is saying should i be worried? ants seem to be invading my apartment.You got my other fax's Wade is working on the bulletin board that I need up so that I can let tenants know about what is going on.Gave #25 a notice about having to many people staying in that apt and that problem has been resolved.Also I have a tenant in #29 that is complaining about #28 using fowl language.I sent #28 a lease violation we will see how that goes                                                   call you tomorrow                                            Thanx Lucy ________________________________________________________________________ Get Your Private, Free E-mail from MSN Hotmail at http://www.hotmail.com"	162
UNK:UNK	"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 08/20/2000  05:38 PM ---------------------------   ""Lucy Gonzalez"" <stagecoachmama@hotmail.com> on 08/16/2000 02:44:36 PM To: pallen@enron.com cc:   Subject: Daily Report           Phillip,                The a/c I bought today for #17 cost $166.71 pd by ck#1429       8/16/00 at WAL-MART.Also on 8/15/00 Ralph's Appliance Centerck#1428       frig & stove for apt #20-B IVOICE # 000119 AMT=308.56 (STOVE=150.00      (frig=125.00)DEL CHRG=15.00\TAX=18.56 TOTAL=308.56.FAX MACHINE FOR FFICE CK # 1427=108.25 FROM sTEELMAN OFFICE PRODUC  TS.                                           Thanxs, Lucy ________________________________________________________________________ Get Your Private, Free E-mail from MSN Hotmail at http://www.hotmail.com"	124
UNK:UNK	"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 08/20/2000  05:38 PM ---------------------------   ""Lucy Gonzalez"" <stagecoachmama@hotmail.com> on 08/17/2000 02:37:55 PM To: pallen@enron.com cc:   Subject: Daily Report       Phillip,         Today was one of those days because Wade had to go pay his fine and I had to go take him that takes alot of time out of my schedule.If you get a chance will you mention to him that he needs to, try to fix his van so tht he can go get what ever he needs. Tomorrow gary is going to be here.I have to go but Iwill E-Mail you tomorrow                                             Lucy  ________________________________________________________________________ Get Your Private, Free E-mail from MSN Hotmail at http://www.hotmail.com"	128
UNK:UNK	I checked into exercising options with Smith Barney, but Enron has some kind  of exclusive with Paine Weber.  I am starting to exercise now, but I am going  to use the proceeds to buy another apartment complex.     What do you think about selling JDSU and buying SDLI?  Also can you look at EOG as a play on rising oil and gas prices.  Thanks,  Phillip	64
UNK:UNK	I tried the new address but I don't have access.  also, what do I need to  enter under domain?	20
UNK:UNK	Cooper,  This is the website I use:  http://ectpdx-sunone/~ctatham/navsetup/index.htm  Should I use a different address.	20
UNK:UNK	Cooper,   Did you add some more security to the expost hourly summary?  It keeps  asking me for additional passwords and domain.  What do I need to enter?  Phillip	28
UNK:UNK	Stephanie  Please grant Paul the requested eol rights  Thanks, Phillip	10
UNK:UNK	"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/30/2001 10:36 AM ---------------------------   Alan Comnes 04/27/2001 01:38 PM To:	Phillip K Allen/HOU/ECT@ECT cc:	Joe Hartsoe/Corp/Enron@ENRON  Subject:	Request from Steve Kean  Phillip,  I got this request.  On the gas side, I think Kean/Lay need an update to a table you prepared for me a few months ago, which I've attached..  Can you oblige?  Thanks,  Alan Comnes     ---------------------- Forwarded by Alan Comnes/PDX/ECT on 04/27/2001 01:42 PM ---------------------------   Janel Guerrero@ENRON 04/27/2001 12:44 PM To:	Alan Comnes/PDX/ECT@ECT, Jeff Dasovich/NA/Enron@Enron cc:	Paul Kaufman/PDX/ECT@ECT, Richard Shapiro/NA/Enron@Enron   Subject:	Request from Steve Kean  Alan,  Steve has asked that you update the power point below so that it reflects all of the ""stupid regulatory/legislative decisions"" since the beginning of the year.  Ken wants to have this updated chart in his briefing book for next week's ""Ken Lay Tour"" to CA.    He also wants a forward price curve for both gas and power in CA.  Can we get these three documents by Monday afternoon?"	197
UNK:UNK	Cash  Hehub  Chicago  PEPL  Katy  Socal  Opal  Permian  Gas Daily   Hehub  Chicago  PEPL  Katy  Socal  NWPL  Permian  Prompt   Nymex  Chicago  PEPL  HSC  Socal  NWPL	24
UNK:UNK	I tried to run the model and it did not work	11
UNK:UNK	Colleen,   I am out ot the office on Friday, but Keith Holst will attend.  He has been  managing the Transport on the west desk.  Phillip	25
UNK:UNK	"Lucy,   Now that #44 is rented and you have settled in for a couple of months, we  need to focus on expenses and recordkeeping.   First, I want to implement the following changes:    1.  No Overtime without my written (or email) instructions.   2.  Daily timesheets for you and Wade faxed to me daily   3.  Paychecks will be issued each Friday by me at the State Bank   4.  No more expenditures on office or landscape than is necessary for basic  operations.    Moving on to the checkbook, I have attached a spreadsheet that organizes all  the checks since Jan. 1.  When you open the file, go to the ""Checkbook"" tab and look at the yellow  highlighted items.  I have questions about these items.  Please gather receipts so we can discuss.  Phillip"	128
